experiment,tier,provenance,case_id,run_id,condition,model,TASK_SUCCESS,public,held_out,regression,wall_seconds,steps,tools,prompt_tokens,completion_tokens,cached_tokens,files_changed,source_files_changed,patch_additions,patch_deletions,workspace_churn_files,patch_sha256,paired_classification,interventions,retries,evaluation_status,termination
E005,hard,historical-public,E005-K04,E005-K04-M,Medium,swe-2-medium,False,fail,fail,pass,145.0603207090171,32,26,26590,282,26368,2,2,4,0,2,bee13c162100aa94f5d780bb97a2d2c5212b0b1da2e12f777a50dbe0137db161,Max-only,0,0,OK,completed
E005,hard,historical-public,E005-K05,E005-K05-X,Max,swe-2-max,True,pass,pass,pass,410.32000599999446,46,45,39692,798,39488,2,2,7,6,2,825754981699d80ed227a8ea313afa1a64f14ed14edbb89f58c56c88762b5143,both success,0,0,OK,completed
E005,hard,historical-public,E005-K05,E005-K05-M,Medium,swe-2-medium,True,pass,pass,pass,146.70502375008073,22,18,20055,354,19220,2,2,7,6,2,8768dcc885489b2cb270605ad2833378f0da5ba875ded0a35fd07b34b9e84b7f,both success,0,0,OK,completed
E002,moderate,historical-public,black-16,E002-C01-X,Max,swe-2-max,True,pass,pass,pass,399.819,36,42,591544,10720,566965,1512,1,1517,1,1512,51fec1f580065c1c76e23006eb2d6803418c2f0f20500fbb571c13b3d6cb97fa,both success,0,0,OK,completed
E002,moderate,historical-public,black-16,E002-C01-M,Medium,swe-2-medium,True,pass,pass,pass,366.269,47,41,903193,10310,873193,13,1,22,1,13,821655e93e617df5b527fca8218b264093bdcb6e1c56f70dc8017d8a6d0bc270,both success,0,0,OK,completed
E002,moderate,historical-public,fastapi-3,E002-C02-X,Max,swe-2-max,True,pass,pass,pass,1137.75,69,71,3504981,60615,3400046,1,1,25,7,1,3747195a3cd9e36b1d4fdbb65b444d8a6901a5e02dd6e40f5bff0724574aaba9,both success,0,0,OK,completed
E002,moderate,historical-public,fastapi-3,E002-C02-M,Medium,swe-2-medium,True,pass,pass,pass,299.332,35,30,599955,9374,568967,2,1,26,7,2,a6980526a0cfd2e87d467d9ca3da2c571e151be8763ed115e001a0bb67cd5a25,both success,0,0,OK,completed
E002,moderate,historical-public,scrapy-3,E002-C03-X,Max,swe-2-max,True,pass,pass,pass,1380.464,91,135,6046229,73180,5910875,1663,1,1662,1,1663,0e92366995587c2a7a2b2f430ceeeca355c63b9b68dc399db4ccce09e8323184,both success,0,0,OK,completed
E002,moderate,historical-public,scrapy-3,E002-C03-M,Medium,swe-2-medium,True,pass,pass,pass,817.861,62,59,1960369,26800,1896201,29,1,34,2,29,5f2065c0e38b075a1878c45b44283503b96da74536a95ebb5526d8c0ea819122,both success,0,0,OK,completed
E002,moderate,historical-public,tornado-13,E002-C05-X,Max,swe-2-max,True,pass,pass,pass,326.457,36,30,783919,9317,756333,36,1,36,1,36,918158b21c59961b6dd27f1cc4bcd257de38557ef8ec6adf45387c49fbb1eb03,both success,0,0,OK,completed
E002,moderate,historical-public,tornado-13,E002-C05-M,Medium,swe-2-medium,True,pass,pass,pass,175.535,33,25,436280,3486,422145,31,1,31,1,31,6972874bf7cf7317f900c823ace3fc839ee42c16b653fdfe23bef698eb5579b5,both success,0,0,OK,completed
E002,moderate,historical-public,tqdm-5,E002-C04-X,Max,swe-2-max,False,pass,fail,pass,405.29,42,44,814278,11151,774656,11,1,12,0,11,134e4f61496f1d027cbe42059944a6b1733d841e345a3e93e39968d8d747be21,Medium-only,0,0,OK,completed
E002,moderate,historical-public,tqdm-5,E002-C04-M,Medium,swe-2-medium,True,pass,pass,pass,157.312,22,14,220679,2343,208403,10,1,15,0,10,917b7bcc147712d6243df7ee7475f59cf882b991ab5d23e2f50dbf50a4cd1d0e,Medium-only,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N01,E004-N01-X,Max,swe-2-max,True,pass,pass,pass,105.5202006669715,16,14,133867,2232,128576,1,1,9,3,1,94f610276c00cf556ba3bacc7d21934fdef325ff47e7529bf7e1ca9df138c0a3,both success,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N01,E004-N01-M,Medium,swe-2-medium,True,pass,pass,pass,74.31168004195206,15,10,112832,983,90048,1,1,9,3,1,3c49fc318b30f3a63fe0ae9481ca23f01d59f45397a054cf7fdfbf2e740056c5,both success,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N02,E004-N02-X,Max,swe-2-max,True,pass,pass,pass,103.59436245809775,18,27,177160,2861,151040,1,1,3,0,1,1cd24ce7f2ac978f68f621633f8953a7d3da609212480a25479bb909ddb6d2d6,both success,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N02,E004-N02-M,Medium,swe-2-medium,True,pass,pass,pass,84.61937408300582,16,15,132236,1233,125056,1,1,4,2,1,485568f466ddb91fd6bcf1cb340283c1cfd4cc96fa866cbf3c5533c1b41dbce0,both success,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N03,E004-N03-X,Max,swe-2-max,False,pass,fail,pass,119.36251529096626,17,21,156183,3977,147136,1,1,2,1,1,214959326b3c4d11f1ff6697262545979a9b9ce7d8db1baf008bfca77e2232e6,Medium-only,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N03,E004-N03-M,Medium,swe-2-medium,True,pass,pass,pass,81.42096691695042,16,12,123813,1152,119360,1,1,3,2,1,e7106befb7005cb406a14937036211a250751fc29a580e397ba62f8a6c2038a4,Medium-only,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N04,E004-N04-X,Max,swe-2-max,True,pass,pass,pass,175.0998719589552,20,27,226494,6172,209344,1,1,1,1,1,0bb3b3c8821698956c2407416ad58dd889e9a33b09caedfadedb2dcabd68ae92,both success,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N04,E004-N04-M,Medium,swe-2-medium,True,pass,pass,pass,90.61919783405028,16,8,125364,1204,106048,1,1,1,1,1,bf76442b4d08c1bef4791e0fc134b792731f5fbd32b1a512f3299a5e6902d0e1,both success,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N05,E004-N05-X,Max,swe-2-max,True,pass,pass,pass,141.47034537501168,17,26,163640,5410,155456,1,1,0,2,1,ce5c917589404d9df619d256025f2a93b48dc8dd30c1b7a46686d47ce772d28c,both success,0,0,OK,completed
E004,moderate,newly-constructed-withheld,E004-N05,E004-N05-M,Medium,swe-2-medium,True,pass,pass,pass,81.51801574998535,18,16,158632,1317,147584,1,1,0,2,1,ce5c917589404d9df619d256025f2a93b48dc8dd30c1b7a46686d47ce772d28c,both success,0,0,OK,completed
