experiment,tier,provenance,case,case_key,project,experiment_case_id,run_id,condition,model,session_id,success,public,held_out,regression,evaluation_status,wall_time_seconds,steps,tool_calls,prompt_tokens,completion_tokens,cached_tokens,source_files_changed,workspace_churn_files,generated_or_environment_files,lines_added,lines_deleted,patch_sha256,prompt_sha256,visible_heldout_disagreement,failure_classification
E004,moderate,newly-constructed-withheld,E004-N01,E004:E004-N01,,E004-N01,E004-N01-M,M,swe-2-medium,wirehaired-street,True,pass,pass,pass,OK,74.31168004195206,15,10,112832,983,90048,1,1,0,9,3,3c49fc318b30f3a63fe0ae9481ca23f01d59f45397a054cf7fdfbf2e740056c5,,False,
E004,moderate,newly-constructed-withheld,E004-N01,E004:E004-N01,,E004-N01,E004-N01-X,X,swe-2-max,fate-leek,True,pass,pass,pass,OK,105.5202006669715,16,14,133867,2232,128576,1,1,0,9,3,94f610276c00cf556ba3bacc7d21934fdef325ff47e7529bf7e1ca9df138c0a3,,False,
E004,moderate,newly-constructed-withheld,E004-N02,E004:E004-N02,,E004-N02,E004-N02-M,M,swe-2-medium,elite-foxtail,True,pass,pass,pass,OK,84.61937408300582,16,15,132236,1233,125056,1,1,0,4,2,485568f466ddb91fd6bcf1cb340283c1cfd4cc96fa866cbf3c5533c1b41dbce0,,False,
E004,moderate,newly-constructed-withheld,E004-N02,E004:E004-N02,,E004-N02,E004-N02-X,X,swe-2-max,savory-paprika,True,pass,pass,pass,OK,103.59436245809775,18,27,177160,2861,151040,1,1,0,3,0,1cd24ce7f2ac978f68f621633f8953a7d3da609212480a25479bb909ddb6d2d6,,False,
E004,moderate,newly-constructed-withheld,E004-N03,E004:E004-N03,,E004-N03,E004-N03-M,M,swe-2-medium,elite-raincoat,True,pass,pass,pass,OK,81.42096691695042,16,12,123813,1152,119360,1,1,0,3,2,e7106befb7005cb406a14937036211a250751fc29a580e397ba62f8a6c2038a4,,False,
E004,moderate,newly-constructed-withheld,E004-N03,E004:E004-N03,,E004-N03,E004-N03-X,X,swe-2-max,abundant-trowel,False,pass,fail,pass,OK,119.36251529096626,17,21,156183,3977,147136,1,1,0,2,1,214959326b3c4d11f1ff6697262545979a9b9ce7d8db1baf008bfca77e2232e6,,True,
E004,moderate,newly-constructed-withheld,E004-N04,E004:E004-N04,,E004-N04,E004-N04-M,M,swe-2-medium,tame-cricket,True,pass,pass,pass,OK,90.61919783405028,16,8,125364,1204,106048,1,1,0,1,1,bf76442b4d08c1bef4791e0fc134b792731f5fbd32b1a512f3299a5e6902d0e1,,False,
E004,moderate,newly-constructed-withheld,E004-N04,E004:E004-N04,,E004-N04,E004-N04-X,X,swe-2-max,mint-bill,True,pass,pass,pass,OK,175.0998719589552,20,27,226494,6172,209344,1,1,0,1,1,0bb3b3c8821698956c2407416ad58dd889e9a33b09caedfadedb2dcabd68ae92,,False,
E004,moderate,newly-constructed-withheld,E004-N05,E004:E004-N05,,E004-N05,E004-N05-M,M,swe-2-medium,hungry-helper,True,pass,pass,pass,OK,81.51801574998535,18,16,158632,1317,147584,1,1,0,0,2,ce5c917589404d9df619d256025f2a93b48dc8dd30c1b7a46686d47ce772d28c,,False,
E004,moderate,newly-constructed-withheld,E004-N05,E004:E004-N05,,E004-N05,E004-N05-X,X,swe-2-max,mire-session,True,pass,pass,pass,OK,141.47034537501168,17,26,163640,5410,155456,1,1,0,0,2,ce5c917589404d9df619d256025f2a93b48dc8dd30c1b7a46686d47ce772d28c,,False,
E005,hard,newly-constructed-withheld,E005-H01,E005:E005-H01,,E005-H01,E005-H01-M,M,swe-2-medium,triangular-chemistry,True,pass,pass,pass,OK,81.59428570896853,13,12,16161,238,16000,2,2,0,5,8,0857469b7b76e45cb3668c0f3811cb672b865eee5482ea1a4f160180cf2884cc,c60707dae70637ff3e44369f4d908784ef54460e21d338bfef6a6c1e3e5fed83,False,
E005,hard,newly-constructed-withheld,E005-H01,E005:E005-H01,,E005-H01,E005-H01-X,X,swe-2-max,quiet-newt,True,pass,pass,pass,OK,171.70258341706358,16,18,21009,305,7808,2,2,0,5,8,0857469b7b76e45cb3668c0f3811cb672b865eee5482ea1a4f160180cf2884cc,c60707dae70637ff3e44369f4d908784ef54460e21d338bfef6a6c1e3e5fed83,False,
E005,hard,newly-constructed-withheld,E005-H02,E005:E005-H02,,E005-H02,E005-H02-M,M,swe-2-medium,casual-department,False,pass,fail,pass,OK,74.66823312500492,13,10,15786,159,15616,1,1,0,3,0,38c929d3c0c4588c197591d51049a9c1c9a57f17a0c926db2b3b759344ba99fd,01235131c0b9c35053abb5b3ac701cc1b1ba4ff3e896548c5fff41828e38f268,True,
E005,hard,newly-constructed-withheld,E005-H02,E005:E005-H02,,E005-H02,E005-H02-X,X,swe-2-max,leeward-primula,False,pass,fail,pass,OK,408.73255062499084,17,16,31547,314,31360,1,1,0,7,1,5c551c21d5e2b579effb7f2154a507e6c19013301487e9ba3a6d08df83c2d41e,01235131c0b9c35053abb5b3ac701cc1b1ba4ff3e896548c5fff41828e38f268,True,
E005,hard,newly-constructed-withheld,E005-H03,E005:E005-H03,,E005-H03,E005-H03-M,M,swe-2-medium,respected-fahrenheit,True,pass,pass,pass,OK,90.42784245801158,14,10,15506,229,11968,2,2,0,2,4,257d4e97425953e49123bf6e2012b07e20c6ca033220729b148d598a4e6b1f9b,cb515641dff9ccc69ad8cc58046fb036e58b71b6f476f1a610d06e81cc73289b,False,
E005,hard,newly-constructed-withheld,E005-H03,E005:E005-H03,,E005-H03,E005-H03-X,X,swe-2-max,flannel-geology,False,pass,pass,fail,OK,226.06557695800439,18,16,25074,304,24832,2,2,0,10,4,c0d7c29c8140076451efa5a739b3c27cef439894d2e4a04aa5626007d3210227,cb515641dff9ccc69ad8cc58046fb036e58b71b6f476f1a610d06e81cc73289b,False,
E005,hard,newly-constructed-withheld,E005-H04,E005:E005-H04,,E005-H04,E005-H04-M,M,swe-2-medium,pastoral-sunshine,True,pass,pass,pass,OK,81.61153829097748,14,12,16113,224,15936,1,1,0,1,1,50e657161f7392b006ee0feeec2513c09b282f97d0cf00240487fd2dc7fe1f57,8da5f0ae6607276212ce31148317f491c1b9f0f93ca9bb53a03fc1220581137b,False,
E005,hard,newly-constructed-withheld,E005-H04,E005:E005-H04,,E005-H04,E005-H04-X,X,swe-2-max,sideways-gasosaurus,True,pass,pass,pass,OK,113.59624950005673,16,16,18259,293,17920,1,1,0,1,1,50e657161f7392b006ee0feeec2513c09b282f97d0cf00240487fd2dc7fe1f57,8da5f0ae6607276212ce31148317f491c1b9f0f93ca9bb53a03fc1220581137b,False,
E005,hard,newly-constructed-withheld,E005-H05,E005:E005-H05,,E005-H05,E005-H05-M,M,swe-2-medium,lean-conga,False,pass,fail,pass,OK,81.55256687500514,14,7,14770,130,14592,2,2,0,3,1,276f452ced303b5b8329c08fcf625a77cc1d568112855785ed7a4d230bab9c7c,c133e06d8336e9f94871aa5748f21b61b6104fa3904335743548472c5cc5cb4c,True,
E005,hard,newly-constructed-withheld,E005-H05,E005:E005-H05,,E005-H05,E005-H05-X,X,swe-2-max,jumpy-pegasus,False,pass,fail,pass,OK,235.5587586669717,17,19,22189,411,20967,3,3,0,13,5,cb028b53a080c4008334667523c039807237a69e38158d15537548973538ce43,c133e06d8336e9f94871aa5748f21b61b6104fa3904335743548472c5cc5cb4c,True,
E005,hard,historical-public,E005-K01,E005:E005-K01,,E005-K01,E005-K01-M,M,swe-2-medium,trail-study,True,pass,pass,pass,OK,771.6972634169506,81,132,129859,583,127499,4,4,0,145,14,ba0351317e0531e4ef8abc11829b19b63640062e7f94f9d89eec7c135d9956ff,7e73a8187e9e5554d95b2f36c724054b2770587af63781ee5873fe1f573c79af,False,
E005,hard,historical-public,E005-K01,E005:E005-K01,,E005-K01,E005-K01-X,X,swe-2-max,possible-bromine,True,pass,pass,pass,OK,953.0180655829608,81,101,134630,503,134400,4,4,0,144,15,7d8b18e8c67ca572b8931b43527ac65ba83bb794970603d37be256be85ffbbf4,7e73a8187e9e5554d95b2f36c724054b2770587af63781ee5873fe1f573c79af,False,
E005,hard,historical-public,E005-K02,E005:E005-K02,,E005-K02,E005-K02-M,M,swe-2-medium,mesquite-trail,True,pass,pass,pass,OK,238.30983433302026,54,49,37616,400,37376,2,2,0,5,1,8de8d046231c631d1229852bf52f0dee64f78fbf5f07bbea53e3fb647826f5e0,f666e127b503c5e6953b39e4bdd5482e1a8f68f0e9f1229804f23bb26493e485,False,
E005,hard,historical-public,E005-K02,E005:E005-K02,,E005-K02,E005-K02-X,X,swe-2-max,glorious-droplet,False,pass,fail,pass,OK,571.7501981660025,56,54,68993,639,68252,1,1,0,5,0,d4e6591c4abe8c2fae09ea6ee9322849d4704fd6d16b04a2460348ff1160ec89,f666e127b503c5e6953b39e4bdd5482e1a8f68f0e9f1229804f23bb26493e485,True,
E005,hard,historical-public,E005-K03,E005:E005-K03,,E005-K03,E005-K03-M,M,swe-2-medium,petite-crater,True,pass,pass,pass,OK,148.89469066704623,23,17,26575,272,26368,1,1,0,8,0,1bd305f79188a1f696ad88002dd2547e02c9c03be7db0bfa2c66f44335bdd12c,299f94c0da2286f18b285b3c26a78cbdd4b9dccf64d55a575571b1279914b4c8,False,
E005,hard,historical-public,E005-K03,E005:E005-K03,,E005-K03,E005-K03-X,X,swe-2-max,shining-radio,True,pass,pass,pass,OK,569.5430964579573,45,46,57123,801,56896,2,2,0,16,2,3c66ec89962cc37f578bddbdff45740b725123e81d09727030d03f60fc7362d6,299f94c0da2286f18b285b3c26a78cbdd4b9dccf64d55a575571b1279914b4c8,False,
E005,hard,historical-public,E005-K04,E005:E005-K04,,E005-K04,E005-K04-M,M,swe-2-medium,internal-system-exhaust,False,fail,fail,pass,OK,145.0603207090171,32,26,26590,282,26368,2,2,0,4,0,bee13c162100aa94f5d780bb97a2d2c5212b0b1da2e12f777a50dbe0137db161,501105ece57baf6cbdfdc356c34f7966fc5c92ecb55c6a15599499256ffe88d8,False,
E005,hard,historical-public,E005-K04,E005:E005-K04,,E005-K04,E005-K04-X,X,swe-2-max,quixotic-spear,True,pass,pass,pass,OK,723.5595000410685,69,67,80422,980,79946,2,2,0,13,0,763abeeb4e68471830fcb7984d4ce8c936deb357911616aa7fbfcd5f1f969f28,501105ece57baf6cbdfdc356c34f7966fc5c92ecb55c6a15599499256ffe88d8,False,
E005,hard,historical-public,E005-K05,E005:E005-K05,,E005-K05,E005-K05-M,M,swe-2-medium,polite-factory,True,pass,pass,pass,OK,146.70502375008073,22,18,20055,354,19220,2,2,0,7,6,8768dcc885489b2cb270605ad2833378f0da5ba875ded0a35fd07b34b9e84b7f,7bac542a7b45b312873d92bc002efd933e83ad58979553c44add2253660ec9f6,False,
E005,hard,historical-public,E005-K05,E005:E005-K05,,E005-K05,E005-K05-X,X,swe-2-max,potent-click,True,pass,pass,pass,OK,410.32000599999446,46,45,39692,798,39488,2,2,0,7,6,825754981699d80ed227a8ea313afa1a64f14ed14edbb89f58c56c88762b5143,7bac542a7b45b312873d92bc002efd933e83ad58979553c44add2253660ec9f6,False,
E006,very-hard,historical-public,PySnooper-1,E006:PySnooper-1,PySnooper,E006-K02,E006-K02-M,M,swe-2-medium,cobalt-cave,True,pass,pass,pass,OK,104.9930339580169,15,7,107574,979,92476,1,20,19,1,1,5d8538b56f8a9e8d274d030c0c01bad76eb24f1cdf91ed0533c872eae9e4b90a,2c7949865d28e4731a8fcd80dd0a9067f9c16239dd665788263a9973b5da9998,False,successful repair
E006,very-hard,historical-public,PySnooper-1,E006:PySnooper-1,PySnooper,E006-K02,E006-K02-X,X,swe-2-max,brainy-scourge,True,pass,pass,pass,OK,177.3605540409917,17,14,188263,3661,172521,1,20,19,1,1,5d8538b56f8a9e8d274d030c0c01bad76eb24f1cdf91ed0533c872eae9e4b90a,2c7949865d28e4731a8fcd80dd0a9067f9c16239dd665788263a9973b5da9998,False,successful repair
E006,very-hard,newly-constructed-withheld,account-ledger,E006:account-ledger,E006 synthetic account-ledger,E006-H04,E006-H04-M,M,swe-2-medium,corner-scarer,False,pass,fail,pass,OK,105.05747095798142,12,10,67898,1345,61031,2,4,2,7,3,5f8e9866631ccdd8576b7879ec187674346948fa50d6cdaaa3d596454deb0777,51bcf59694b8086eb5019cf53a98079f61a002242acac9d8366fe582d42875eb,True,public-suite failure
E006,very-hard,newly-constructed-withheld,account-ledger,E006:account-ledger,E006 synthetic account-ledger,E006-H04,E006-H04-X,X,swe-2-max,radical-sundial,False,pass,fail,pass,OK,230.92664883297402,14,15,110878,5795,99960,2,4,2,8,3,8a3859b5f890aa86cbd8835051ddc61c58684d7ec445128523f56ab2dadd1f2b,51bcf59694b8086eb5019cf53a98079f61a002242acac9d8366fe582d42875eb,True,public-suite failure
E006,very-hard,historical-public,black-23,E006:black-23,black,E006-K03,E006-K03-M,M,swe-2-medium,flannel-yard,True,pass,pass,pass,OK,2599.3454131250037,45,39,788115,8069,561408,1,21,20,12,0,d5b1efa5b99fb6ef14331681d2f84373f8049b528bd9db2597e0999316e281c0,a4c4029243b3d1d5b4e93ecd542087c8b3d89781400a3192d4a853406a3cfd0a,False,successful repair
E006,very-hard,historical-public,black-23,E006:black-23,black,E006-K03,E006-K03-X,X,swe-2-max,oval-ocelot,True,pass,pass,pass,OK,771.1954051249195,53,52,1749247,24998,1694674,1,15,14,11,0,c8ea65f2ede06201ceb7a718a21b869e03515740c823e6e5a5f964a860bcac92,a4c4029243b3d1d5b4e93ecd542087c8b3d89781400a3192d4a853406a3cfd0a,False,successful repair
E006,very-hard,historical-public,black-6,E006:black-6,black,E006-K01,E006-K01-M,M,swe-2-medium,dull-smoke,True,pass,pass,pass,OK,567.0026812079595,40,58,1252164,18313,1200323,10,28,18,65,17,338343ec4fa92fce85fbe1dfb915a88d2095dc4f0a9a89a84b23bb90e60b3d96,3d725880dcb7f233ee3ed60fcab2744dcc0200fb81d537ce4971fba7cd868781,False,successful repair
E006,very-hard,historical-public,black-6,E006:black-6,black,E006-K01,E006-K01-X,X,swe-2-max,shocking-ricotta,True,pass,pass,pass,OK,1805.4598848749883,69,80,4173900,66196,4011582,10,28,18,73,20,99b19774b6ab01393f658e24895f673f95667ea9032190af183cb42dae7f71da,3d725880dcb7f233ee3ed60fcab2744dcc0200fb81d537ce4971fba7cd868781,False,successful repair
E006,very-hard,newly-constructed-withheld,feature-store,E006:feature-store,E006 synthetic feature-store,E006-H01,E006-H01-M,M,swe-2-medium,fern-brace,False,pass,pass,fail,OK,107.88311537494883,14,12,100390,1362,84091,2,4,2,5,2,1feceaa38dd143db20b6d991a9388363c4ebc315af9de844cae74756823716bf,68782aa92078dab734092e25acfc61532e916169be6708c50dbe32756d69e608,False,public-suite failure
E006,very-hard,newly-constructed-withheld,feature-store,E006:feature-store,E006 synthetic feature-store,E006-H01,E006-H01-X,X,swe-2-max,turquoise-verdict,True,pass,pass,pass,OK,409.5821003339952,18,19,227234,12431,203449,2,4,2,13,8,3dbf93025111308038a59dca1d01d108ef6f5e2c9cbfefa1ab0beb829678b032,68782aa92078dab734092e25acfc61532e916169be6708c50dbe32756d69e608,False,successful repair
E006,very-hard,newly-constructed-withheld,profile-runtime,E006:profile-runtime,E006 synthetic profile-runtime,E006-H05,E006-H05-M,M,swe-2-medium,torpid-warrior,True,pass,pass,pass,OK,93.2703970830189,12,10,66620,751,52252,1,2,1,2,2,e12ede1084fc1184b63ec727ff2c7e109517fa8841f13f5e84b516741eba3328,3f620340f0ede03388af1305922ed10b50eafb521d963cd62ad20ec52a05340a,False,successful repair
E006,very-hard,newly-constructed-withheld,profile-runtime,E006:profile-runtime,E006 synthetic profile-runtime,E006-H05,E006-H05-X,X,swe-2-max,diligent-hardcover,True,pass,pass,pass,OK,134.67686433391646,14,13,98109,2023,90311,1,2,1,4,2,b2795eedbbae4428392036c4a9f75daf152d55e46227e4a20c0c1af116adcdba,3f620340f0ede03388af1305922ed10b50eafb521d963cd62ad20ec52a05340a,False,successful repair
E006,very-hard,historical-public,thefuck-17,E006:thefuck-17,thefuck,E006-K04,E006-K04-M,M,swe-2-medium,yielding-nephew,True,pass,pass,pass,OK,225.78768612502608,28,25,404472,4497,378505,1,201,200,5,6,dab76df1c96b4e47c25ef35f65ac315e974952ced593105eb5d291a374b5c61e,c6c0611bc0471348bac43fa15e5e209b1619d663bdc202b8f90533e9e005b389,False,successful repair
E006,very-hard,historical-public,thefuck-17,E006:thefuck-17,thefuck,E006-K04,E006-K04-X,X,swe-2-max,aback-toaster,True,pass,pass,pass,OK,941.2282746660057,67,70,2575863,32090,2511811,1,209,208,8,9,b47ded570e39487a4dd5e0bd34a4a425676e58fa3dd609bffebf98ee2d6c607e,c6c0611bc0471348bac43fa15e5e209b1619d663bdc202b8f90533e9e005b389,False,successful repair
E006,very-hard,historical-public,tqdm-2,E006:tqdm-2,tqdm,E006-K05,E006-K05-M,M,swe-2-medium,scythe-single,True,pass,pass,pass,OK,366.9991151250433,31,26,534463,9460,504091,2,23,21,7,5,7ee886df62c152c8b7cfb246da76f5822d724aa5e2223c7f7f4fe392434ef68e,23e06a1032063aef0947faf9067bced3720d4305ed59d5db5039a37d5081aa9b,False,successful repair
E006,very-hard,historical-public,tqdm-2,E006:tqdm-2,tqdm,E006-K05,E006-K05-X,X,swe-2-max,rapid-mandible,True,pass,pass,pass,OK,1365.7721701249247,73,70,4002470,49444,3884714,2,25,23,9,6,88d530c24859d575b07b33489f69387272895036c655b15f6d9df069f6414588,23e06a1032063aef0947faf9067bced3720d4305ed59d5db5039a37d5081aa9b,False,successful repair
E006,very-hard,newly-constructed-withheld,wire-relay,E006:wire-relay,E006 synthetic wire-relay,E006-H03,E006-H03-M,M,swe-2-medium,lacy-need,False,pass,fail,pass,OK,119.93797479209024,12,10,69060,1449,53556,1,2,1,2,2,1591c7d717c34a6513849a8e59ca4affe3373d2e82ffe9c6242f9bad6e846e5d,6279c4b7f7a5c80fed2977a6166014a410974dbb5f98c58ea2ddd12e1d3a3cb8,True,public-suite failure
E006,very-hard,newly-constructed-withheld,wire-relay,E006:wire-relay,E006 synthetic wire-relay,E006-H03,E006-H03-X,X,swe-2-max,harsh-narcissus,True,pass,pass,pass,OK,564.2590307919309,18,18,266586,19519,237908,1,2,1,21,3,a46b9978b0a77e868b8658aaf85a591579aea3f209fc43c58906e22fe3e53903,6279c4b7f7a5c80fed2977a6166014a410974dbb5f98c58ea2ddd12e1d3a3cb8,False,successful repair
E006,very-hard,newly-constructed-withheld,work-queue,E006:work-queue,E006 synthetic work-queue,E006-H02,E006-H02-M,M,swe-2-medium,sudden-option,True,pass,pass,pass,OK,116.41186004201882,14,11,99965,1676,91832,1,2,1,16,8,34989366674b97c5c698d09f135d60474475c1dd3bd3a968ac959188f2eae725,a0ca878941de1f1a69c892d3391fd4834dba0acbe1b5c2f980e4f4e44395edb1,False,successful repair
E006,very-hard,newly-constructed-withheld,work-queue,E006:work-queue,E006 synthetic work-queue,E006-H02,E006-H02-X,X,swe-2-max,snowy-scissor,True,pass,pass,pass,OK,789.4168522499967,17,18,291431,26742,256886,1,2,1,25,12,06d9e301aa7a45e10eb6e9449aeb931b63b80d54631d299f46bcc6064df89de2,a0ca878941de1f1a69c892d3391fd4834dba0acbe1b5c2f980e4f4e44395edb1,False,successful repair
